episode,team_id,team_name,value_pick,synergy,late_bonus,panic_penalty,block_reward,waste_penalty,balance_bonus,season_total,transfer_total,TOTAL,budget_wasted_cr,final_position,squad_balance_score
42,PBKS,PBKS,1052.3383,453.0,0.0,0.0,170.0,0.0,-5.0,55.0,0.0,1725.3383,40.2,7,0.5
42,SRH,SRH,245.1587,36.0,0.0,0.0,20.0,0.0,-5.0,90.0,0.0,386.1587,62.8,6,0.8125
44,MI,MI,580.1074,684.0,0.0,0.0,220.0,0.0,-5.0,150.0,0.0,1629.1074,2.73,3,0.5625
44,CSK,CSK,1993.8561,327.0,0.0,0.0,170.0,-10.0,-5.0,135.0,0.0,2610.8561,66.9,4,0.875
44,RCB,RCB,579.9723,777.0,0.0,0.0,210.0,0.0,-5.0,40.0,0.0,1601.9723,0.01,8,0.8125
44,KKR,KKR,1631.0771,510.0,0.0,0.0,180.0,0.0,-5.0,315.0,0.0,2631.0771,47.3,2,0.5
44,DC,DC,1959.9966,465.0,0.0,0.0,190.0,0.0,15.0,230.0,0.0,2859.9966,54.7,1,1.0
44,RR,RR,1429.5853,192.0,0.0,0.0,110.0,-10.0,-5.0,55.0,0.0,1771.5853,64.6,7,0.8125
44,PBKS,PBKS,1677.872,609.0,0.0,0.0,180.0,0.0,-5.0,90.0,0.0,2551.872,49.0,6,0.5
44,SRH,SRH,121.3006,60.0,0.0,0.0,20.0,-10.0,-5.0,105.0,0.0,291.3006,63.3,5,0.6875
43,MI,MI,580.1074,684.0,0.0,0.0,220.0,0.0,-5.0,150.0,0.0,1629.1074,2.73,3,0.5625
43,CSK,CSK,1993.8561,327.0,0.0,0.0,170.0,-10.0,-5.0,135.0,0.0,2610.8561,66.9,4,0.875
43,RCB,RCB,579.9723,777.0,0.0,0.0,210.0,0.0,-5.0,40.0,0.0,1601.9723,0.01,8,0.8125
43,KKR,KKR,1631.0771,510.0,0.0,0.0,180.0,0.0,-5.0,315.0,0.0,2631.0771,47.3,2,0.5
43,DC,DC,1959.9966,465.0,0.0,0.0,190.0,0.0,15.0,230.0,0.0,2859.9966,54.7,1,1.0
43,RR,RR,1429.5853,192.0,0.0,0.0,110.0,-10.0,-5.0,55.0,0.0,1771.5853,64.6,7,0.8125
43,PBKS,PBKS,1677.872,609.0,0.0,0.0,180.0,0.0,-5.0,90.0,0.0,2551.872,49.0,6,0.5
